GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:09:40 MST 2025,02-Nov-2025 01:09:40.384,-121.76870608,37.32706754,0.25999999046325684,3.2160000801086426,112.0,115.5999984741211,-2.96402168,7.05810642,9.59117222,0.26993054,
Sun Nov 02 01:09:41 MST 2025,02-Nov-2025 01:09:41.383,-121.76870765,37.32706698,0.46000000834465027,3.2160000801086426,111.0,115.5999984741211,-0.48362875,3.95522118,8.62391472,-0.01260275,
Sun Nov 02 01:09:42 MST 2025,02-Nov-2025 01:09:42.383,-121.76870568,37.32706944,0.33000001311302185,3.2160000801086426,110.0,115.5999984741211,1.11569798,4.01268196,8.74841309,0.00668877,
Sun Nov 02 01:09:43 MST 2025,02-Nov-2025 01:09:43.382,-121.76870182,37.32707328,0.6399999856948853,3.2160000801086426,110.0,115.5999984741211,1.75734401,4.75009632,7.41244841,0.01979447,
Sun Nov 02 01:09:44 MST 2025,02-Nov-2025 01:09:44.382,-121.76870113,37.32707823,0.5199999809265137,3.2160000801086426,110.0,115.5999984741211,0.48362875,4.92726707,9.44273186,0.10584432,
Sun Nov 02 01:09:45 MST 2025,02-Nov-2025 01:09:45.383,-121.7687033,37.32708447,0.8399999737739563,3.2160000801086426,110.0,359.0,1.26892686,3.11246228,8.66222191,-0.03385586,
Sun Nov 02 01:09:46 MST 2025,02-Nov-2025 01:09:46.383,-121.76870557,37.3270896,0.41999998688697815,3.2160000801086426,109.0,358.79998779296875,3.20344186,3.21301866,12.16254425,0.34226769,
Sun Nov 02 01:09:47 MST 2025,02-Nov-2025 01:09:47.383,-121.76870732,37.32709146,0.2199999988079071,3.2160000801086426,109.0,358.70001220703125,-2.50912333,3.8738184,8.80108547,0.01942224,
Sun Nov 02 01:09:48 MST 2025,02-Nov-2025 01:09:48.382,-121.76871021,37.32709177,0.20999999344348907,3.2160000801086426,109.0,358.70001220703125,5.7987566,4.06056595,7.82425117,0.09457892,
Sun Nov 02 01:09:49 MST 2025,02-Nov-2025 01:09:49.382,-121.76871385,37.32708993,0.0,3.2160000801086426,110.0,0.0,4.56813669,3.7349546,8.83939266,0.10237581,
Sun Nov 02 01:09:50 MST 2025,02-Nov-2025 01:09:50.383,-121.76871516,37.3270892,0.0,3.2160000801086426,110.0,0.0,1.24498487,8.75320148,-13.66131496,0.67778462,
Sun Nov 02 01:09:51 MST 2025,02-Nov-2025 01:09:51.382,-121.76871326,37.32708893,0.0,3.2160000801086426,110.0,0.0,1.72861362,11.55441761,0.45968673,0.21084982,
Sun Nov 02 01:09:52 MST 2025,02-Nov-2025 01:09:52.383,-121.76871123,37.32708904,0.0,3.2160000801086426,110.0,0.0,-0.06703765,10.29985619,3.53863001,0.12919158,
Sun Nov 02 01:09:53 MST 2025,02-Nov-2025 01:09:53.382,-121.76870822,37.32709031,0.0,3.2160000801086426,110.0,0.0,1.8722657,10.07001209,1.45088625,0.07351917,
Sun Nov 02 01:09:54 MST 2025,02-Nov-2025 01:09:54.383,-121.76870742,37.3270909,0.0,3.2160000801086426,110.0,0.0,2.71023631,9.96466732,1.15879357,0.07827383,
Sun Nov 02 01:09:55 MST 2025,02-Nov-2025 01:09:55.383,-121.76870578,37.32708989,0.0,3.2160000801086426,109.0,0.0,0.30166942,6.44040251,6.41167212,-0.05410737,
Sun Nov 02 01:09:56 MST 2025,02-Nov-2025 01:09:56.382,-121.76870579,37.3270891,0.0,3.2160000801086426,109.0,0.0,-0.99119949,3.92649078,9.23682976,0.04709119,
Sun Nov 02 01:09:57 MST 2025,02-Nov-2025 01:09:57.382,-121.7687036,37.32708935,0.0,3.2160000801086426,109.0,0.0,-0.4405331,3.80678082,9.51455784,0.06459755,
Sun Nov 02 01:09:58 MST 2025,02-Nov-2025 01:09:58.383,-121.76870195,37.32708897,0.0,3.2160000801086426,109.0,0.0,0.72304893,4.07014275,9.53849983,0.0787105,
Sun Nov 02 01:09:59 MST 2025,02-Nov-2025 01:09:59.383,-121.76870113,37.32708877,0.0,3.2160000801086426,109.0,0.0,0.09576806,7.35977602,7.16824007,0.06631881,
