SECONDS;PID;VALUE;UNITS;
73847.920182;Distance travelled (total);0.000569229570834107;miles;
73848.588182;Distance travelled (total);0.000569229570834107;miles;
73849.235182;Distance travelled (total);0.000569229570834107;miles;
73849.843182;Distance travelled (total);0.000569229570834107;miles;
73850.420182;Distance travelled (total);0.000569229570834107;miles;
73851.139182;Distance travelled (total);0.000569229570834107;miles;
73851.747182;Distance travelled (total);0.000569229570834107;miles;
73852.404182;Distance travelled (total);0.000569229570834107;miles;
73852.991182;Distance travelled (total);0.000569229570834107;miles;
73853.708182;Distance travelled (total);0.000569229570834107;miles;
73854.305182;Distance travelled (total);0.000569229570834107;miles;
73855.094182;Distance travelled (total);0.000569229570834107;miles;
73855.691182;Distance travelled (total);0.000569229570834107;miles;
73856.550182;Distance travelled (total);0.000569229570834107;miles;
73858.023182;Distance travelled (total);0.000569229570834107;miles;
73858.701182;Distance travelled (total);0.000569229570834107;miles;
73859.338182;Distance travelled (total);0.000569229570834107;miles;
73859.985182;Distance travelled (total);0.000569229570834107;miles;
73860.561182;Distance travelled (total);0.000569229570834107;miles;
73861.198182;Distance travelled (total);0.000569229570834107;miles;
73861.816182;Distance travelled (total);0.000569229570834107;miles;
73862.443182;Distance travelled (total);0.000569229570834107;miles;
73863.071182;Distance travelled (total);0.000569229570834107;miles;
73863.668182;Distance travelled (total);0.000569229570834107;miles;
73864.245182;Distance travelled (total);0.000569229570834107;miles;
73864.872182;Distance travelled (total);0.000569229570834107;miles;
73865.510182;Distance travelled (total);0.000569229570834107;miles;
73866.218182;Distance travelled (total);0.000569229570834107;miles;
73866.805182;Distance travelled (total);0.000569229570834107;miles;
73867.494182;Distance travelled (total);0.000569229570834107;miles;
73868.031182;Distance travelled (total);0.000569229570834107;miles;
73868.760182;Distance travelled (total);0.000569229570834107;miles;
73869.368182;Distance travelled (total);0.000569229570834107;miles;
73870.005182;Distance travelled (total);0.000569229570834107;miles;
73870.633182;Distance travelled (total);0.000569229570834107;miles;
73871.230182;Distance travelled (total);0.000569229570834107;miles;
73871.899182;Distance travelled (total);0.000684615491363769;miles;
73872.415182;Distance travelled (total);0.00095191762399255;miles;
73873.173182;Distance travelled (total);0.00173726411713924;miles;
73873.720182;Distance travelled (total);0.002209092579889;miles;
73874.307182;Distance travelled (total);0.0025129236750433;miles;
73874.894182;Distance travelled (total);0.00281705789577755;miles;
73875.571182;Distance travelled (total);0.00328455983721732;miles;
73876.229182;Distance travelled (total);0.00385199834011042;miles;
73876.826182;Distance travelled (total);0.00447080005890599;miles;
73877.373182;Distance travelled (total);0.00513132668065718;miles;
73877.980182;Distance travelled (total);0.00597005475868152;miles;
73878.659182;Distance travelled (total);0.00690664672824593;miles;
73879.326182;Distance travelled (total);0.00794248866135657;miles;
73880.389182;Distance travelled (total);0.00922768236623121;miles;
73881.521182;Distance travelled (total);0.00961837861679459;miles;
73882.108182;Distance travelled (total);0.0098210467708858;miles;
73882.685182;Distance travelled (total);0.0101197005494854;miles;
73883.353182;Distance travelled (total);0.0105812848968966;miles;
73884.092182;Distance travelled (total);0.0113461436426547;miles;
73884.690182;Distance travelled (total);0.0122744021442553;miles;
73885.186182;Distance travelled (total);0.0132177613293919;miles;
73885.744182;Distance travelled (total);0.0144682087166503;miles;
73886.401182;Distance travelled (total);0.0159436428410858;miles;
